year,round,date,start_time,attendance,home_team_score,away_team_score,rain_fall,home_team_id,away_team_id,name,stadium_id
2020,R9,2020-07-29,19:10,2824,49,90,0.0,18,14,Carrara,67
2020,R8,2020-07-27,18:10,20251,16,48,4.8,6,7,Perth Stadium,26
2020,R8,2020-07-26,18:10,3011,49,53,100.2,11,2,Carrara,67
2020,R8,2020-07-26,13:35,24824,111,45,2.2,17,4,Perth Stadium,26
2020,R8,2020-07-26,12:35,15155,59,62,0.0,1,5,Adelaide Oval,27
2020,R8,2020-07-25,19:10,16727,44,73,0.0,13,15,Adelaide Oval,27
2020,R8,2020-07-25,15:35,4264,60,53,0.0,16,10,S.C.G.,68
2020,R8,2020-07-25,13:05,3655,57,64,3.2,12,3,Gabba,166
2020,R8,2020-07-24,19:50,5500,62,50,0.0,9,14,Sydney Showground,73
2020,R8,2020-07-23,19:40,4039,46,51,0.0,8,18,Carrara,67
2020,R7,2020-07-20,19:10,13579,55,78,0.2,1,15,Adelaide Oval,27
2020,R7,2020-07-19,16:35,25306,32,62,0.4,6,17,Perth Stadium,26
2020,R7,2020-07-19,15:35,750,48,91,0.0,10,11,Sydney Showground,73
2020,R7,2020-07-19,13:05,3510,61,64,0.0,3,13,Gabba,166
2020,R7,2020-07-18,19:40,4337,77,23,0.0,14,12,Carrara,67
2020,R7,2020-07-18,16:35,6000,60,92,2.8,16,8,S.C.G.,68
2020,R7,2020-07-18,13:45,3168,68,88,0.0,9,2,Sydney Showground,73
2020,R7,2020-07-17,19:50,4949,51,93,0.0,5,18,Carrara,67
2020,R7,2020-07-16,18:10,22077,35,57,1.0,7,4,Perth Stadium,26
2020,R6,2020-07-12,18:45,2178,103,51,0.0,3,18,Carrara,67
2020,R6,2020-07-12,15:35,3606,34,26,0.2,14,16,Gabba,166
2020,R6,2020-07-12,13:05,368,63,46,0.0,13,9,Carrara,67
2020,R6,2020-07-11,19:40,4271,67,53,0.8,5,12,Carrara,67
2020,R6,2020-07-11,18:05,250,80,63,3.6,11,8,Sydney Showground,73
2020,R6,2020-07-11,15:05,210,67,34,0.6,17,1,Gabba,166
2020,R6,2020-07-11,12:35,638,79,73,0.8,6,15,Carrara,67
2020,R6,2020-07-10,19:50,1772,59,27,0.2,4,10,Sydney Showground,73
2020,R6,2020-07-09,19:40,1311,73,46,0.2,7,2,S.C.G.,68
2020,R5,2020-07-05,18:10,5674,83,49,0.0,9,10,Sydney Showground,73
2020,R5,2020-07-05,15:35,0,52,79,5.2,11,14,M.C.G.,24
2020,R5,2020-07-05,13:05,418,34,54,0.0,1,6,Carrara,67
2020,R5,2020-07-04,19:40,10161,85,48,0.0,2,13,Gabba,166
2020,R5,2020-07-04,19:40,0,87,38,8.8,18,12,Docklands,50
2020,R5,2020-07-04,16:35,0,89,52,7.2,7,8,Kardinia Park,160
2020,R5,2020-07-04,13:45,2238,77,43,0.8,17,16,Carrara,67
2020,R5,2020-07-03,19:50,0,48,63,0.2,4,5,M.C.G.,24
2020,R5,2020-07-02,19:40,0,55,73,1.2,3,15,Docklands,50
2020,R4,2020-06-28,18:10,0,58,54,0.0,10,12,Docklands,50
2020,R4,2020-06-28,15:35,0,44,47,0.0,11,7,M.C.G.,24
2020,R4,2020-06-28,13:05,7354,83,46,0.4,2,1,Gabba,166
2020,R4,2020-06-27,19:40,5106,64,51,0.0,8,6,Carrara,67
2020,R4,2020-06-27,19:40,0,51,52,0.0,5,3,M.C.G.,24
2020,R4,2020-06-27,16:35,0,93,67,0.0,15,14,Docklands,50
2020,R4,2020-06-27,13:45,450,89,41,0.0,13,17,Carrara,67
2020,R4,2020-06-26,19:50,487,66,64,0.0,9,4,Sydney Showground,73
2020,R4,2020-06-25,19:40,605,39,67,1.0,16,18,S.C.G.,68
2020,R3,2020-06-21,20:10,180,41,70,0.0,6,13,Carrara,67
2020,R3,2020-06-21,15:05,1997,82,29,0.0,8,1,Carrara,67
2020,R3,2020-06-20,19:40,1965,74,44,1.8,2,17,Gabba,166
2020,R3,2020-06-20,19:40,0,77,79,1.2,7,3,Kardinia Park,160
2020,R3,2020-06-20,16:35,0,81,37,2.0,4,15,M.C.G.,24
2020,R3,2020-06-20,13:45,0,60,71,2.0,12,16,Docklands,50
