"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
160,"2021R1908",2021,"R19","2021-07-25 00:00:00","15:20",0,95,57,0,8,14,"M.C.G.",63
161,"2021R1909",2021,"R19","2021-07-25 00:00:00","18:10",2681,53,66,0,5,9,"Carrara",80
162,"2021R2001",2021,"R20","2021-07-30 00:00:00","19:50",0,81,112,0,15,3,"Docklands",107
163,"2021R2002",2021,"R20","2021-07-31 00:00:00","12:20",0,105,56,0.2,18,1,"Eureka Stadium",46
164,"2021R2003",2021,"R20","2021-07-31 00:00:00","13:15",8033,42,62,0.4,12,8,"Bellerive Oval",116
165,"2021R2004",2021,"R20","2021-07-31 00:00:00","16:15",0,90,45,0,4,17,"M.C.G.",63
166,"2021R2005",2021,"R20","2021-08-01 00:00:00","12:10",0,30,128,19.2,7,11,"Docklands",107
167,"2021R2006",2021,"R20","2021-08-01 00:00:00","14:10",5381,92,80,13,10,2,"York Park",163
168,"2021R2007",2021,"R20","2021-08-01 00:00:00","15:10",0,102,109,19.2,5,16,"M.C.G.",63
169,"2021R2008",2021,"R20","2021-08-01 00:00:00","15:10",24979,55,51,8.8,6,14,"Perth Stadium",147
170,"2021R2009",2021,"R20","2021-08-01 00:00:00","18:10",0,73,100,19.2,9,13,"Docklands",107
171,"2021R2101",2021,"R21","2021-08-06 00:00:00","19:50",0,65,84,0.2,8,9,"Kardinia Park",154
172,"2021R2102",2021,"R21","2021-08-07 00:00:00","13:45",0,57,76,0.6,3,7,"Docklands",107
173,"2021R2103",2021,"R21","2021-08-07 00:00:00","16:35",0,89,56,0.6,14,12,"M.C.G.",63
174,"2021R2104",2021,"R21","2021-08-07 00:00:00","19:10",14736,51,55,1.4,1,13,"Adelaide Oval",47
175,"2021R2105",2021,"R21","2021-08-07 00:00:00","19:40",0,93,64,0.6,15,16,"Docklands",107
176,"2021R2106",2021,"R21","2021-08-08 00:00:00","14:10",0,97,78,1,10,4,"M.C.G.",63
