gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R1903,2021,R19,24-Jul-21,Gabba,3:10 PM,16660,Brisbane Lions,120,Gold Coast,71,4.2
2021R1902,2021,R19,24-Jul-21,Docklands,1:45 PM,0,Carlton,77,North Melbourne,116,0
2021R1901,2021,R19,23-Jul-21,Docklands,7:10 PM,0,Port Adelaide,97,Collingwood,69,0
2021R1809,2021,R18,18-Jul-21,Carrara,6:10 PM,2374,Greater Western Sydney,72,Sydney,98,0
2021R1808,2021,R18,18-Jul-21,Adelaide Oval,4:10 PM,24554,Adelaide,56,West Coast,98,0.8
2021R1807,2021,R18,18-Jul-21,M.C.G.,3:20 PM,0,Collingwood,62,Carlton,91,4.4
2021R1806,2021,R18,18-Jul-21,Carrara,12:35 PM,5114,North Melbourne,74,Essendon,92,0
2021R1805,2021,R18,17-Jul-21,M.C.G.,7:25 PM,0,Melbourne,79,Hawthorn,79,0.8
2021R1804,2021,R18,17-Jul-21,Carrara,4:35 PM,8244,Gold Coast,79,Western Bulldogs,90,0.4
2021R1803,2021,R18,17-Jul-21,Docklands,1:45 PM,0,St Kilda,61,Port Adelaide,74,0.8
2021R1802,2021,R18,16-Jul-21,Carrara,8:05 PM,4119,Richmond,106,Brisbane Lions,86,0.4
2021R1801,2021,R18,15-Jul-21,Perth Stadium,6:10 PM,35271,Fremantle,31,Geelong,100,2
2021R1709,2021,R17,12-Jul-21,Perth Stadium,5:40 PM,30515,West Coast,60,North Melbourne,70,9.6
2021R1708,2021,R17,11-Jul-21,M.C.G.,4:10 PM,29437,Richmond,71,Collingwood,87,0
2021R1707,2021,R17,11-Jul-21,Docklands,3:20 PM,24817,Western Bulldogs,60,Sydney,79,0
2021R1706,2021,R17,11-Jul-21,Eureka Stadium,12:40 PM,2952,Greater Western Sydney,64,Gold Coast,65,0.2
2021R1705,2021,R17,10-Jul-21,Carrara,7:25 PM,9075,Brisbane Lions,63,St Kilda,95,1.6
2021R1704,2021,R17,10-Jul-21,M.C.G.,4:35 PM,31834,Carlton,44,Geelong,70,0
2021R1703,2021,R17,10-Jul-21,York Park,1:45 PM,9111,Hawthorn,46,Fremantle,108,0
2021R1702,2021,R17,9-Jul-21,Docklands,7:50 PM,23604,Essendon,84,Adelaide,21,0
2021R1701,2021,R17,8-Jul-21,Adelaide Oval,7:10 PM,30908,Port Adelaide,55,Melbourne,86,0
2021R1609,2021,R16,4-Jul-21,Docklands,4:40 PM,18216,Western Bulldogs,108,North Melbourne,79,0.4
